SectionOrder,ExternalId,Drug,Type,TypeSub,Value,SectionSubOrder
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Ace + Z,1
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Aces,2
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Aces Plus Zinc,3
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Advanced Calcium Formula,4
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Advanced Stress Formula Plus Zinc,5
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Airborne,6
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Airborne Kids,7
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,AquADEKs,8
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Azesco,9
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Basic's Women's Multivitamin Health Formula,10
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Bugs Bunny Complete,11
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Calcet Citrate Creamy Bites,12
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Calcium Plus,13
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Caltrate Plus,14
1,DNX0344,Multivitamins with Minerals,brand_name,brand_name,Cardi-Rite,15
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00004015201,1
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005412513,2
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005422219,3
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423419,4
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423916,5
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423918,6
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423919,7
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423926,8
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423930,9
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423936,10
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005423949,11
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005424919,12
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005428623,13
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005434361,14
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005443013,15
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005443019,16
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005443045,17
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005452835,18
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005555619,19
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005556619,20
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005556719,21
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00005560458,22
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00009340402,23
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00009468817,24
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00009468818,25
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00031068964,26
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00031068970,27
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00045004376,28
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00045010203,29
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00045010290,30
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00045010303,31
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00045010390,32
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00055055623,33
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00068062661,34
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00071033526,35
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00071055024,36
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074428622,37
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074666701,38
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074699202,39
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074699203,40
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074723503,41
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00074815250,42
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00083020073,43
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084020701,44
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084023701,45
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084034701,46
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084034716,47
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084044706,48
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084045101,49
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084045116,50
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084103401,51
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084103405,52
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084103425,53
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084107405,54
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084114603,55
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084114609,56
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084207512,57
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084209016,58
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084209116,59
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00084209212,60
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00088165347,61
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00093915201,62
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00093915205,63
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00098106533,64
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00098169308,65
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00098169340,66
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00098184008,67
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00098184080,68
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00122003149,69
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00122094539,70
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00122096339,71
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00122096539,72
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00122400038,73
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00143233201,74
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178003112,75
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178003160,76
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178016901,77
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178025260,78
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178055001,79
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178141101,80
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00178277813,81
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182000601,82
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182140726,83
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182155601,84
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182400419,85
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182400726,86
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182406401,87
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182415826,88
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182416001,89
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182416010,90
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182416201,91
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182416205,92
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182416210,93
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182421106,94
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182421206,95
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182434401,96
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182434701,97
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182438101,98
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182441326,99
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182442501,100
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182442601,101
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182442701,102
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182442710,103
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182443601,104
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182443610,105
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182444001,106
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182444010,107
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182446619,108
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182448326,109
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182449126,110
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182451789,111
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182451906,112
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182451910,113
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182451989,114
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182453401,115
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182455501,116
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182605440,117
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00182614244,118
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00223184700,119
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00223184701,120
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00223184702,121
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00223236501,122
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00223236502,123
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00245001801,124
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00245013301,125
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00245013389,126
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00245015560,127
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00245019960,128
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00254917058,129
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00259039301,130
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00275020001,131
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00275020006,132
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00275020008,133
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00302421501,134
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00302840201,135
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00302851201,136
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00302851210,137
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00304050801,138
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00349217501,139
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353206001,140
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353501301,141
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353501903,142
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353501908,143
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353502201,144
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510403,145
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510406,146
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510503,147
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510506,148
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510703,149
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353510706,150
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353511901,151
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353511906,152
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353512902,153
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353512908,154
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353516101,155
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00353516103,156
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00364081401,157
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00364116001,158
2,DNX0344,Multivitamins with Minerals,NDC,NDC,00364117106,159
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297038397,912
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297038472,913
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297038881,914
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297039197,915
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297039472,916
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297039581,917
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297040787,918
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297041278,919
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297041378,920
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297042578,921
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297042678,922
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297056772,923
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297056972,924
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297064497,925
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297065278,926
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52297065678,927
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52569134100,928
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52569134105,929
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52604460008,930
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52604555308,931
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52604562208,932
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52735000903,933
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52735001801,934
